0
0
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.94,0.03,0.03>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.96,0.01,0.03>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.96,0.01,0.03>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.71,0.15,0.14>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.96,0.01,0.03>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.96,0.01,0.03>}] generated by model agent_sir_config_62
4
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.95,0.01,0.04>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.95,0.01,0.04>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.95,0.01,0.04>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.95,0.01,0.04>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.95,0.01,0.04>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.95,0.01,0.04>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.87,0.05,0.08>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.92,0.03,0.05>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.95,0.01,0.04>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.95,0.01,0.04>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.62,0.15,0.23>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.95,0.01,0.04>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.95,0.01,0.04>}] generated by model agent_sir_config_62
5
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.94,0.01,0.05>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.94,0.01,0.05>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.94,0.01,0.05>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.94,0.01,0.05>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.94,0.01,0.05>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.94,0.01,0.05>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.84,0.05,0.11>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.9,0.03,0.07>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.94,0.01,0.05>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.94,0.01,0.05>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.54,0.14,0.32>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.94,0.01,0.05>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.94,0.01,0.05>}] generated by model agent_sir_config_62
6
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.93,0.01,0.06>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.93,0.01,0.06>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.93,0.01,0.06>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.93,0.01,0.06>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.93,0.01,0.06>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.93,0.01,0.06>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.81,0.05,0.14>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.88,0.03,0.09>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.93,0.01,0.06>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.93,0.01,0.06>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.47,0.13,0.4>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.93,0.01,0.06>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.93,0.01,0.06>}] generated by model agent_sir_config_62
7
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.92,0.01,0.07>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.92,0.01,0.07>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.92,0.01,0.07>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.92,0.01,0.07>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.92,0.01,0.07>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.92,0.01,0.07>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.78,0.05,0.17>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.86,0.03,0.11>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.92,0.01,0.07>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.92,0.01,0.07>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.41,0.11,0.48>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.92,0.01,0.07>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.92,0.01,0.07>}] generated by model agent_sir_config_62
8
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.91,0.01,0.08>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.91,0.01,0.08>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.91,0.01,0.08>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.91,0.01,0.08>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.91,0.01,0.08>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.91,0.01,0.08>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.75,0.05,0.2>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.84,0.03,0.13>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.91,0.01,0.08>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.91,0.01,0.08>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.36,0.09,0.55>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.91,0.01,0.08>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.91,0.01,0.08>}] generated by model agent_sir_config_62
9
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.9,0.01,0.09>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.9,0.01,0.09>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.9,0.01,0.09>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.9,0.01,0.09>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.9,0.01,0.09>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.9,0.01,0.09>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.72,0.05,0.23>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.82,0.03,0.15>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.9,0.01,0.09>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.9,0.01,0.09>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.32,0.08,0.6>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.9,0.01,0.09>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.9,0.01,0.09>}] generated by model agent_sir_config_62
10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.89,0.01,0.1>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.89,0.01,0.1>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.89,0.01,0.1>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.89,0.01,0.1>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.89,0.01,0.1>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.89,0.01,0.1>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.69,0.05,0.26>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.8,0.03,0.17>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.89,0.01,0.1>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.89,0.01,0.1>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.28,0.07,0.65>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.89,0.01,0.1>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.89,0.01,0.1>}] generated by model agent_sir_config_62
11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.88,0.01,0.11>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.88,0.01,0.11>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.88,0.01,0.11>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.88,0.01,0.11>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.88,0.01,0.11>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.88,0.01,0.11>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.66,0.05,0.29>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.78,0.03,0.19>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.88,0.01,0.11>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.88,0.01,0.11>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.25,0.06,0.69>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.88,0.01,0.11>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.88,0.01,0.11>}] generated by model agent_sir_config_62
12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.87,0.01,0.12>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.87,0.01,0.12>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.87,0.01,0.12>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.87,0.01,0.12>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.87,0.01,0.12>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.87,0.01,0.12>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.63,0.05,0.32>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.76,0.03,0.21>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.87,0.01,0.12>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.87,0.01,0.12>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.22,0.05,0.73>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.87,0.01,0.12>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.87,0.01,0.12>}] generated by model agent_sir_config_62
13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.86,0.01,0.13>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.86,0.01,0.13>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.86,0.01,0.13>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.86,0.01,0.13>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.86,0.01,0.13>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.86,0.01,0.13>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.61,0.04,0.35>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.74,0.03,0.23>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.86,0.01,0.13>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.86,0.01,0.13>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.2,0.04,0.76>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.86,0.01,0.13>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.86,0.01,0.13>}] generated by model agent_sir_config_62
14
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.85,0.01,0.14>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.85,0.01,0.14>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.85,0.01,0.14>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.85,0.01,0.14>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.85,0.01,0.14>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.85,0.01,0.14>}] generated by model agent_sir_config_35
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {46 ; <1278365,0.59,0.04,0.37>}] generated by model agent_sir_config_46
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {47 ; <1098352,0.72,0.03,0.25>}] generated by model agent_sir_config_47
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {48 ; <4067175,0.85,0.01,0.14>}] generated by model agent_sir_config_48
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {59 ; <4648055,0.85,0.01,0.14>}] generated by model agent_sir_config_59
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {60 ; <35874,0.19,0.03,0.78>}] generated by model agent_sir_config_60
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {61 ; <41786,0.85,0.01,0.14>}] generated by model agent_sir_config_61
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {62 ; <35944,0.85,0.01,0.14>}] generated by model agent_sir_config_62
15
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {10 ; <519716,0.84,0.01,0.15>}] generated by model agent_sir_config_10
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {11 ; <142907,0.84,0.01,0.15>}] generated by model agent_sir_config_11
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {12 ; <923598,0.84,0.01,0.15>}] generated by model agent_sir_config_12
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {13 ; <747101,0.84,0.01,0.15>}] generated by model agent_sir_config_13
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {24 ; <8164361,0.84,0.01,0.15>}] generated by model agent_sir_config_24
[cadmium::celldevs::cell_ports_def<std::string, sir>::cell_out: {35 ; <13448494,0.84,0.01,0.15>}] generated by model agent_sir_config_35
